주문 번호 (k),도착 시간 (t_k),작업 수량 (n_k),할당 랙 (r),할당 CP (c),완료 시간 (E_k)
0,0.0,2,0,0,16.94
1,15.049999999999999,1,0,1,28.52
2,21.63,3,0,2,43.63
3,26.2,4,0,3,62.31
4,27.04,1,0,5,67.24
5,27.889999999999997,5,0,6,91.89
6,28.189999999999998,1,0,7,96.82
7,38.25,2,0,8,106.68
8,42.839999999999996,6,0,4,138.66
9,49.0,2,0,9,149.32
10,49.1,1,1,10,67.57
11,66.62,3,1,11,92.03
12,75.55000000000001,2,1,12,100.03
13,76.75,1,1,13,104.7
14,77.75,2,1,15,114.56
15,78.76,3,1,16,129.35
16,80.58000000000001,1,1,17,134.28
17,84.30000000000001,4,1,18,154.0
18,87.12,2,1,14,164.66
19,88.84,1,1,19,169.99
20,93.58000000000001,3,2,20,123.99
21,94.33000000000001,2,2,21,130.93
22,96.06,1,2,22,134.93
23,98.34,3,2,23,148.94
24,101.38000000000001,1,2,25,153.87
25,109.07000000000001,1,2,26,158.8
26,110.18,2,2,27,168.66
27,113.79,3,2,28,183.45
28,118.28,1,2,24,188.78
29,118.52000000000001,2,2,29,199.44
30,123.2,2,3,30,155.14
31,124.13000000000001,3,3,31,165.55
32,124.47,5,3,32,185.55
33,139.34,4,3,33,204.23
34,156.19,2,3,35,214.09
35,164.45000000000002,1,3,36,219.02
36,166.27,3,3,37,233.81
37,166.78,2,3,38,243.67
38,172.55,4,3,34,264.99
39,175.45000000000002,3,3,39,280.98
40,176.1,1,4,40,209.57
41,179.51000000000002,2,4,41,216.51
42,179.69,3,4,42,228.51
43,191.69,1,4,43,233.18
44,193.19,2,4,45,243.04
45,198.62,4,4,46,262.76
46,200.49,1,4,47,267.69
47,204.16,6,4,48,297.27
48,208.11,2,4,44,307.93
49,209.14000000000001,1,4,49,313.26
50,226.6,3,5,50,272.01
51,234.06,2,5,51,278.95
52,248.09,1,5,52,287.09
53,259.34999999999997,5,5,53,317.7
54,263.9,4,5,55,337.42
55,276.65,1,5,56,342.35
56,277.10999999999996,5,5,58,367.0
57,278.2,3,5,57,381.79
58,278.44,2,5,59,392.45
59,280.4,1,5,54,397.78
